model,experiment,ph,patient,metric,calculation,0
ar,DEC_8_2023,30,ohio_575,R_EGA_uD,mean,0.0158976347421481
ar,DEC_8_2023,30,ohio_575,R_EGA_uD,std,0.0007356985638235
ar,DEC_8_2023,30,ohio_575,R_EGA_uE,mean,0.0216362931368747
ar,DEC_8_2023,30,ohio_575,R_EGA_uE,std,0.0002901634266594
ar,DEC_8_2023,30,ohio_575,TG,mean,5.0
ar,DEC_8_2023,30,ohio_575,TG,std,0.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP,mean,0.81506456241033
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP,std,0.0114992625018731
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP_eu,mean,0.8278364116094987
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP_eu,std,0.0111865260821636
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP_hyper,mean,0.8023659305993689
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP_hyper,std,0.0119562105099351
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP_hypo,mean,0.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_AP_hypo,std,0.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE,mean,0.1475609756097561
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE,std,0.0106319448671714
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE_eu,mean,0.1358839050131926
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE_eu,std,0.0111865260821636
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE_hyper,mean,0.16198738170347
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE_hyper,std,0.0100328352642203
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE_hypo,mean,0.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_BE_hypo,std,0.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP,mean,0.0373744619799139
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP,std,0.000890220491104
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP_eu,mean,0.0362796833773087
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP_eu,std,0.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP_hyper,mean,0.0356466876971608
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP_hyper,std,0.0019573617738155
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP_hypo,mean,1.0
ar,DEC_8_2023,30,ohio_588,CG_EGA_EP_hypo,std,0.0
ar,DEC_8_2023,30,ohio_588,MAPE,mean,8.883922106117764
ar,DEC_8_2023,30,ohio_588,MAPE,std,0.0743845427576653
ar,DEC_8_2023,30,ohio_588,MASE,mean,0.9058532034843236
ar,DEC_8_2023,30,ohio_588,MASE,std,0.0060348987498459
ar,DEC_8_2023,30,ohio_588,P_EGA_A,mean,0.9393830703012912
ar,DEC_8_2023,30,ohio_588,P_EGA_A,std,0.0014347202295552
ar,DEC_8_2023,30,ohio_588,P_EGA_A+B,mean,0.9985652797704446
ar,DEC_8_2023,30,ohio_588,P_EGA_A+B,std,1.1102230246251563e-16
ar,DEC_8_2023,30,ohio_588,P_EGA_B,mean,0.0591822094691535
ar,DEC_8_2023,30,ohio_588,P_EGA_B,std,0.0014347202295552
ar,DEC_8_2023,30,ohio_588,P_EGA_C,mean,0.0
ar,DEC_8_2023,30,ohio_588,P_EGA_C,std,0.0
ar,DEC_8_2023,30,ohio_588,P_EGA_D,mean,0.0014347202295552
ar,DEC_8_2023,30,ohio_588,P_EGA_D,std,0.0
ar,DEC_8_2023,30,ohio_588,P_EGA_E,mean,0.0
ar,DEC_8_2023,30,ohio_588,P_EGA_E,std,0.0
ar,DEC_8_2023,30,ohio_588,RMSE,mean,19.68296278677147
ar,DEC_8_2023,30,ohio_588,RMSE,std,0.1209360574243484
ar,DEC_8_2023,30,ohio_588,R_EGA_A,mean,0.5744619799139168
ar,DEC_8_2023,30,ohio_588,R_EGA_A,std,0.0099622699893165
ar,DEC_8_2023,30,ohio_588,R_EGA_A+B,mean,0.8164992826398851
ar,DEC_8_2023,30,ohio_588,R_EGA_A+B,std,0.0114992625018731
ar,DEC_8_2023,30,ohio_588,R_EGA_B,mean,0.2420373027259684
ar,DEC_8_2023,30,ohio_588,R_EGA_B,std,0.0018761401478654
ar,DEC_8_2023,30,ohio_588,R_EGA_lC,mean,0.0495695839311334
ar,DEC_8_2023,30,ohio_588,R_EGA_lC,std,0.0060505402823413
ar,DEC_8_2023,30,ohio_588,R_EGA_lD,mean,0.024390243902439
ar,DEC_8_2023,30,ohio_588,R_EGA_lD,std,0.0003929143167181
ar,DEC_8_2023,30,ohio_588,R_EGA_lE,mean,0.0239598278335724
ar,DEC_8_2023,30,ohio_588,R_EGA_lE,std,0.0007315666447048
ar,DEC_8_2023,30,ohio_588,R_EGA_uC,mean,0.0614060258249641
ar,DEC_8_2023,30,ohio_588,R_EGA_uC,std,0.0042945852358954
ar,DEC_8_2023,30,ohio_588,R_EGA_uD,mean,0.0121951219512195
ar,DEC_8_2023,30,ohio_588,R_EGA_uD,std,0.0006001865326643
ar,DEC_8_2023,30,ohio_588,R_EGA_uE,mean,0.0119799139167862
ar,DEC_8_2023,30,ohio_588,R_EGA_uE,std,0.0001757166243029
ar,DEC_8_2023,30,ohio_588,TG,mean,5.0
ar,DEC_8_2023,30,ohio_588,TG,std,0.0
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP,mean,0.7716152450090744
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP,std,0.0072718588562707
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP_eu,mean,0.8039892183288411
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP_eu,std,0.009961237272195
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP_hyper,mean,0.7889182058047494
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP_hyper,std,0.0075093664753338
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP_hypo,mean,0.2563380281690141
ar,DEC_8_2023,30,ohio_591,CG_EGA_AP_hypo,std,0.0323023801159992
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE,mean,0.1556442831215971
ar,DEC_8_2023,30,ohio_591,CG_EGA_BE,std,0.0064007469895193
